tconst,nconst,director_id
tt0207163,nm0314068,4750
tt0207198,nm0774221,10709
tt0207201,nm0583600,8337
tt0207333,nm0864016,11854
tt0207337,nm0395705,5805
tt0207377,nm0855613,11745
tt0207501,nm0006685,757
tt0207524,nm0435701,6363
tt0207585,nm0057666,1493
tt0207631,nm0847749,11643
tt0207635,nm0912192,12503
tt0207638,nm0647592,9183
tt0207745,nm0282664,4373
tt0207988,nm0618405,8787
tt0208003,nm0331532,4999
tt0208017,nm0271016,4219
tt0208037,nm0192463,3282
tt0208050,nm0123299,2316
tt0208092,nm0005363,691
tt0208196,nm0026442,1079
tt0208204,nm0534979,7743
tt0208298,nm0370985,5503
tt0208298,nm0812474,11208
tt0208412,nm0666209,9400
tt0208491,nm0694946,9729
tt0208870,nm0123931,2329
tt0208870,nm0322387,4858
tt0208870,nm0390063,5747
tt0208874,nm0527109,7654
tt0208883,nm0614168,8727
tt0208889,nm0013750,906
tt0208899,nm0552269,7960
tt0208910,nm0437442,6391
tt0208911,nm0506290,7386
tt0208942,nm0118778,2258
tt0208988,nm0443181,6502
tt0208990,nm0604335,8592
tt0208993,nm0078166,1727
tt0209020,nm0338628,5093
tt0209037,nm0220652,3608
tt0209077,nm0164187,2918
tt0209077,nm0005767,727
tt0209109,nm0082802,1807
tt0209144,nm0634240,9008
tt0209163,nm0814085,11232
tt0209180,nm0759685,10493
tt0209253,nm0006614,749
tt0209279,nm0269967,4199
tt0209322,nm0205542,3435
tt0209475,nm0788202,10895
tt0209486,nm0564559,8113
tt0209941,nm0848501,11656
tt0209958,nm0802248,11085
tt0210065,nm0006476,739
tt0210070,nm0269502,4194
tt0210075,nm0476201,6967
tt0210094,nm0914058,12522
tt0210149,nm0001505,301
tt0210223,nm0002534,435
tt0210299,nm0339245,5101
tt0210357,nm0240582,3858
tt0210358,nm0006554,746
tt0210362,nm0437490,6394
tt0210382,nm0000941,205
tt0210470,nm0682408,9574
tt0210567,nm0000398,81
tt0210584,nm0675032,9490
tt0210616,nm0405336,5955
tt0210756,nm0712013,9941
tt0210776,nm0285128,4416
tt0210816,nm0000365,71
tt0210930,nm0098439,1997
tt0210945,nm0945026,12887
tt0210952,nm0165574,2934
tt0210953,nm0708545,9903
tt0211181,nm0510674,7453
tt0211279,nm0348960,5227
tt0211296,nm0759615,10490
tt0211309,nm0292654,4496
tt0211309,nm0292655,4497
tt0211387,nm0654830,9267
tt0211423,nm0818697,11288
tt0211443,nm0410494,6042
tt0211465,nm0002718,453
tt0211465,nm0505522,7372
tt0211492,nm0331296,4995
tt0211661,nm0004165,589
tt0211661,nm0404438,5936
tt0211718,nm0309697,4697
tt0211915,nm0000466,104
tt0211919,nm0626706,8910
tt0211933,nm1703612,24035
tt0211938,nm0298807,4559
tt0211941,nm0908352,12442
tt0211946,nm0836708,11495
tt0212048,nm0340244,5112
tt0212059,nm0001411,289
tt0212132,nm0208854,3456
tt0212215,nm0744630,10296
tt0212271,nm0770974,10665
tt0212292,nm0318580,4807
tt0212294,nm0652926,9247
tt0212298,nm0130242,2418
tt0212338,nm0005366,692
tt0212346,nm0677953,9523
tt0212360,nm0002714,452
tt0212380,nm0106456,2105
tt0212495,nm0303832,4625
tt0212604,nm0083656,1819
tt0212667,nm0401010,5890
tt0212712,nm0939182,12815
